timestamp,data_name,n_estimators,learning_rate,max_depth,gamma,reg_lambda,00_pre,00_rec,00_spe,00_f1,00_geo,00_iba,01_pre,01_rec,01_spe,01_f1,01_geo,01_iba,02_pre,02_rec,02_spe,02_f1,02_geo,02_iba,03_pre,03_rec,03_spe,03_f1,03_geo,03_iba,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,auc,ap
2024-07-10 17:59:20,hf_ctgan_training,100,0.01,4,0.0,0.0,0.9993332888859258,1.0,0.0909090909090909,0.9996665332799788,0.3015113445777636,0.0991735537190082,1.0,0.3333333333333333,1.0,0.5,0.5773502691896257,0.3111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.998800444474076,0.9993333333333332,0.0915757575757575,0.9990334444889066,0.3014057063122445,0.0991630486685032,,
2024-07-10 18:01:21,hf_ctgan_training,100,0.01,4,0.0,0.1,0.9991333333333332,1.0,0.0,0.9995664788074832,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9982674177777776,0.9991333333333332,0.0008666666666666,0.9987001878591834,0.0,0.0,,
2024-07-10 18:23:23,hf_ctgan_training,100,0.01,8,0.0,0.0,0.999066604440296,1.0,0.0666666666666666,0.9995330843116328,0.2581988897471611,0.0728888888888888,1.0,0.1,1.0,0.1818181818181818,0.3162277660168379,0.091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9987342045025224,0.9990666666666668,0.0676,0.9986547633485334,0.2581515093680918,0.0728766666666666,,
2024-07-10 18:27:22,hf_ctgan_training,100,0.01,8,0.0,0.1,0.9991998933191092,0.9998665599145984,0.0,0.9995331154538784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9998666311016272,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.998400533404454,0.9990666666666668,0.0007999644349604,0.9987334889615154,0.0,0.0,,
2024-07-10 18:29:08,hf_ctgan_training,100,0.01,8,0.0,1.0,0.9989998666488864,1.0,0.1176470588235294,0.9994996831326508,0.3429971702850177,0.1280276816608996,1.0,0.2857142857142857,1.0,0.4444444444444445,0.5345224838248488,0.2653061224489796,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9983343334666844,0.999,0.1186470588235294,0.9985743242325078,0.3428578839844796,0.1280063931454934,,
2024-07-10 18:35:39,hf_ctgan_training,100,0.01,10,0.0,0.0,0.9991332177623684,0.9999332710529828,0.0714285714285714,0.9995330843116328,0.2672523247330377,0.0780555389429523,1.0,0.1666666666666666,1.0,0.2857142857142857,0.408248290463863,0.1527777777777777,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999333155508136,0.0,0.0,0.0,0.99860069342579,0.9990666666666668,0.0722952203127183,0.9987144724805612,0.2671661885461391,0.0780437982177167,,
2024-07-10 18:40:37,hf_ctgan_training,100,0.01,10,0.0,0.1,0.9993998799759952,0.999866577718479,0.1,0.9996331743755626,0.3162066693981136,0.108984122926514,1.0,0.3333333333333333,1.0,0.5,0.5773502691896257,0.3111111111111111,0.0,0.0,0.9998666222074024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9989336133893446,0.9992666666666666,0.1005999555407358,0.9990667522593124,0.3161113350056861,0.1089736890667853,,
2024-07-10 18:41:56,hf_ctgan_training,100,0.01,10,0.0,1.0,0.9992,1.0,0.0,0.9995998399359745,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.99840064,0.9992,0.0008,0.9988001600640256,0.0,0.0,,
2024-07-10 18:52:24,hf_ctgan_training,500,0.01,4,0.0,0.0,0.9988666666666668,1.0,0.0,0.999433012040156,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9977346177777776,0.9988666666666668,0.0011333333333333,0.9983003212931773,0.0,0.0,,
2024-07-10 19:02:29,hf_ctgan_training,500,0.01,4,0.0,0.1,0.9989331910921456,1.0,0.1111111111111111,0.999466310873916,0.3333333333333333,0.1209876543209876,1.0,0.2,1.0,0.3333333333333333,0.4472135954999579,0.1839999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9984011379295016,0.9989333333333332,0.1121777777777777,0.9984891735230896,0.3332314757303333,0.1209651358024691,,
2024-07-10 19:12:03,hf_ctgan_training,500,0.01,4,0.0,1.0,0.999333244432591,1.0,0.1666666666666666,0.9996665110384846,0.408248290463863,0.1805555555555555,1.0,0.2857142857142857,1.0,0.4444444444444445,0.5345224838248488,0.2653061224489796,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990004445037116,0.9993333333333332,0.1673333333333333,0.9990741852370612,0.4081711356572768,0.1805349206349205,,
2024-07-10 19:35:09,hf_ctgan_training,500,0.01,8,0.0,0.0,0.9989999333288886,0.9999332665999332,0.0,0.9994663820704376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999333155508136,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9980009333955596,0.9989333333333332,0.0009999822174802,0.998466915688367,0.0,0.0,,
