timestamp,data_name,n_estimators,learning_rate,max_depth,num_leaves,reg_lambda,00_pre,00_rec,00_spe,00_f1,00_geo,00_iba,01_pre,01_rec,01_spe,01_f1,01_geo,01_iba,02_pre,02_rec,02_spe,02_f1,02_geo,02_iba,03_pre,03_rec,03_spe,03_f1,03_geo,03_iba,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,auc,ap
2024-07-10 13:06:14,hf_ctgan_training,500,0.1,-1,31,0.0,0.999133044348116,0.9997330842119312,0.0714285714285714,0.9994329742170042,0.2672255714095078,0.0780384826840862,0.0,0.0,0.9998665955176094,0.0,0.0,0.0,0.0,0.0,0.9998666222074024,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.9982005201733912,0.9988,0.0722951180421758,0.998500170107735,0.2669761608761922,0.0779656467669144,,
2024-07-10 15:50:59,hf_ctgan_training,500,0.1,-1,31,0.1,0.9991331599653264,0.9998665421059656,0.0714285714285714,0.99949971650602,0.2672434072561093,0.0780498534597195,0.0,0.0,0.9999332977588048,0.0,0.0,0.0,0.0,0.0,0.9999333111037012,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.998200635682692,0.9989333333333332,0.0722951758463366,0.998566850103948,0.2669939800760035,0.0779770069298238,,
2024-07-10 15:51:07,hf_ctgan_training,500,0.1,-1,31,1.0,0.999066604440296,0.9999332710529828,0.0,0.9994997498749376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.9981341422761516,0.999,0.0009333288885925,0.998566883441721,0.0,0.0,,
2024-07-10 15:51:15,hf_ctgan_training,500,0.1,5,31,0.0,0.999133044348116,0.9997330842119312,0.0714285714285714,0.9994329742170042,0.2672255714095078,0.0780384826840862,0.0,0.0,0.9998665955176094,0.0,0.0,0.0,0.0,0.0,0.9998666222074024,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.9982005201733912,0.9988,0.0722951180421758,0.998500170107735,0.2669761608761922,0.0779656467669144,,
2024-07-10 15:51:23,hf_ctgan_training,500,0.1,5,31,0.1,0.9991332177623684,0.9999332710529828,0.0714285714285714,0.9995330843116328,0.2672523247330377,0.0780555389429523,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999333111037012,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.99820069342579,0.999,0.0722952114208652,0.9986001867662754,0.2670028892299536,0.0779826871066056,,
2024-07-10 15:51:32,hf_ctgan_training,500,0.1,5,31,1.0,0.9990666666666668,1.0,0.0,0.9995331154538784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9981342044444445,0.9990666666666668,0.0009333333333333,0.9986002178794549,0.0,0.0,,
2024-07-10 15:52:17,hf_ctgan_training,500,0.1,10,31,0.0,0.999133044348116,0.9997330842119312,0.0714285714285714,0.9994329742170042,0.2672255714095078,0.0780384826840862,0.0,0.0,0.9998665955176094,0.0,0.0,0.0,0.0,0.0,0.9998666222074024,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.9982005201733912,0.9988,0.0722951180421758,0.998500170107735,0.2669761608761922,0.0779656467669144,,
2024-07-10 15:53:16,hf_ctgan_training,500,0.1,10,31,0.1,0.999066604440296,0.9999332710529828,0.0,0.9994997498749376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.9981341422761516,0.999,0.0009333288885925,0.998566883441721,0.0,0.0,,
2024-07-10 15:54:20,hf_ctgan_training,500,0.1,10,31,1.0,0.9990666666666668,1.0,0.0,0.9995331154538784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9981342044444445,0.9990666666666668,0.0009333333333333,0.9986002178794549,0.0,0.0,,
2024-07-10 15:56:35,hf_ctgan_training,1000,0.1,-1,31,0.0,0.999133044348116,0.9997330842119312,0.0714285714285714,0.9994329742170042,0.2672255714095078,0.0780384826840862,0.0,0.0,0.9998665955176094,0.0,0.0,0.0,0.0,0.0,0.9998666222074024,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.9982005201733912,0.9988,0.0722951180421758,0.998500170107735,0.2669761608761922,0.0779656467669144,,
2024-07-10 15:57:48,hf_ctgan_training,1000,0.1,-1,31,0.1,0.9991331599653264,0.9998665421059656,0.0714285714285714,0.99949971650602,0.2672434072561093,0.0780498534597195,0.0,0.0,0.9999332977588048,0.0,0.0,0.0,0.0,0.0,0.9999333111037012,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.998200635682692,0.9989333333333332,0.0722951758463366,0.998566850103948,0.2669939800760035,0.0779770069298238,,
2024-07-10 15:59:11,hf_ctgan_training,1000,0.1,-1,31,1.0,0.999066604440296,0.9999332710529828,0.0,0.9994997498749376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999333288885924,0.0,0.0,0.0,0.9981341422761516,0.999,0.0009333288885925,0.998566883441721,0.0,0.0,,
