timestamp,origin_data_name,data_name,max_iter,learning_rate,max_depth,max_leaf_nodes,l2_regularization,0_pre,0_rec,0_spe,0_f1,0_geo,0_iba,1_pre,1_rec,1_spe,1_f1,1_geo,1_iba,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,auc,ap,f1_macro,f1_weighted,auc_ovr
2024-07-25 19:41:23,hf_training,hf_training,100,0.01,2,31,0.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:41:27,hf_training,hf_training,100,0.01,2,31,1.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:41:34,hf_training,hf_training,100,0.01,4,31,0.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:41:40,hf_training,hf_training,100,0.01,4,31,1.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:41:57,hf_training,hf_training,500,0.01,2,31,0.0,0.9150501672240804,0.9992695398100804,0.0305343511450381,0.9553072625698324,0.1746769790702303,0.0334678563794685,0.8,0.0305343511450381,0.9992695398100804,0.0588235294117647,0.1746769790702303,0.0275562376547348,0.9050024526198438,0.9146666666666666,0.1151372242884518,0.8770143498740279,0.1746769790702303,0.0329515750108418,0.5149019454775593,,0.5070653959907986,0.1371164421075693,0.5149019454775593
2024-07-25 19:43:28,hf_training,hf_training,500,0.01,2,31,1.0,0.9144385026737968,0.9992695398100804,0.0229007633587786,0.9549738219895288,0.1512747013311421,0.0251183610138096,0.75,0.0229007633587786,0.9992695398100804,0.0444444444444444,0.1512747013311421,0.0206497095118428,0.9000775401069518,0.914,0.1081703031688589,0.8754542563505916,0.1512747013311421,0.0247280987826379,0.5110851515844295,,0.4997091332169866,0.1239640100833818,0.5110851515844295
2024-07-25 19:46:39,hf_training,hf_training,500,0.01,4,31,0.0,0.9254742547425474,0.997808619430241,0.1603053435114503,0.9602811950790862,0.399942562746766,0.1733502578764275,0.875,0.1603053435114503,0.997808619430241,0.2709677419354839,0.399942562746766,0.1465578491164741,0.9210661698283648,0.9246666666666666,0.2334472962750247,0.9000811535045449,0.399942562746766,0.1710103875113916,0.5790569814708457,,0.615624468507285,0.3311677835100252,0.5790569814708457
2024-07-25 19:49:53,hf_training,hf_training,500,0.01,4,31,1.0,0.92794017675051,0.9970781592403214,0.1908396946564885,0.9612676056338028,0.436213355432954,0.2056233655835726,0.8620689655172413,0.1908396946564885,0.9970781592403214,0.3125,0.436213355432954,0.1749408173325806,0.9221874243028044,0.9266666666666666,0.2612511872301433,0.9046085680751174,0.436213355432954,0.2029437563696526,0.593958926948405,,0.6368838028169015,0.3691590375586855,0.593958926948405
2024-07-25 19:50:06,hf_training,hf_training,100,0.001,2,31,0.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:50:28,hf_training,hf_training,100,0.001,2,31,1.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:51:12,hf_training,hf_training,100,0.001,4,31,0.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:51:49,hf_training,hf_training,100,0.001,4,31,1.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:53:43,hf_training,hf_training,500,0.001,2,31,0.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
2024-07-25 19:54:57,hf_training,hf_training,500,0.001,2,31,1.0,0.9126666666666666,1.0,0.0,0.9543394911118858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8329604444444444,0.9126666666666666,0.0873333333333333,0.8709938422214477,0.0,0.0,0.5,,0.4771697455559429,0.083345648890438,0.5
