timestamp,origin_data_name,data_name,n_estimators,learning_rate,max_depth,gamma,reg_lambda,0_pre,0_rec,0_spe,0_f1,0_geo,0_iba,1_pre,1_rec,1_spe,1_f1,1_geo,1_iba,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,auc,ap,f1_macro,f1_weighted,auc_ovr
2024-07-25 19:42:41,hf_training,hf_training,100,0.01,2,0.0,0.0,0.9213333333333332,1.0,0.0,0.959056210964608,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8488551111111111,0.9213333333333332,0.0786666666666666,0.8836104557020589,0.0,0.0,0.5,0.0786666666666666,0.4795281054823039,0.0754457552625491,0.5
2024-07-25 19:42:53,hf_training,hf_training,100,0.01,2,0.0,1.0,0.912,1.0,0.0,0.9539748953974896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.831744,0.912,0.088,0.8700251046025105,0.0,0.0,0.5,0.088,0.4769874476987448,0.083949790794979,0.5
2024-07-25 19:43:17,hf_training,hf_training,100,0.01,4,0.0,0.0,0.9364123159303882,1.0,0.0594059405940594,0.9671621154510888,0.2437333391107162,0.0649936280756788,1.0,0.0594059405940594,1.0,0.1121495327102803,0.2437333391107162,0.0538182531124399,0.940693886657742,0.9366666666666666,0.1227392739273927,0.9095912682132076,0.2437333391107163,0.0642411528281541,0.5297029702970297,0.1227392739273927,0.5396558240806846,0.1697203799481614,0.5297029702970297
2024-07-25 19:43:43,hf_training,hf_training,100,0.01,4,0.0,1.0,0.9301544660846206,1.0,0.0956521739130434,0.9638135003479472,0.3092768564135433,0.1043024574669187,1.0,0.0956521739130434,1.0,0.1746031746031746,0.3092768564135433,0.0870018903591682,0.9355092903514663,0.9306666666666666,0.1649855072463768,0.9033073753741812,0.3092768564135433,0.1029760806553245,0.5478260869565217,0.1649855072463768,0.5692083374755609,0.2351092995769405,0.5478260869565217
2024-07-25 19:44:49,hf_training,hf_training,500,0.01,2,0.0,0.0,0.9432672590567328,0.9942363112391932,0.2589285714285714,0.9680813749561558,0.5073816982623406,0.2763656698662137,0.7837837837837838,0.2589285714285714,0.9942363112391932,0.389261744966443,0.5073816982623406,0.2385067055969399,0.9313591595696858,0.9393333333333334,0.3138315493344312,0.9248628425835906,0.5073816982623406,0.2735388672007746,0.6265824413338823,0.2582773487773488,0.6786715599612994,0.4324802773390082,0.6265824413338823
2024-07-25 19:45:54,hf_training,hf_training,500,0.01,2,0.0,1.0,0.9483115093039284,0.9920692141312184,0.336283185840708,0.9696969696969698,0.577595183413551,0.3554942799109647,0.7755102040816326,0.336283185840708,0.9920692141312184,0.4691358024691358,0.577595183413551,0.3117381118941025,0.935293810977182,0.9426666666666668,0.3856857333052598,0.931988028432473,0.577595183413551,0.352197981920361,0.6641761999859632,0.310791042080549,0.7194163860830528,0.5068447437336326,0.6641761999859632
2024-07-25 19:47:34,hf_training,hf_training,500,0.01,4,0.0,0.0,0.9561891515994436,0.9877873563218392,0.4166666666666667,0.9717314487632508,0.6415435021369164,0.4350841399747325,0.7258064516129032,0.4166666666666667,0.9877873563218392,0.5294117647058824,0.6415435021369164,0.3880719902934668,0.9396015972004128,0.9466666666666668,0.4577873563218391,0.9398844315111204,0.6415435021369164,0.4316992651976813,0.7022270114942529,0.3444193548387096,0.7505716067345667,0.5612587819580129,0.7022270114942529
2024-07-25 19:49:20,hf_training,hf_training,500,0.01,4,0.0,1.0,0.953846153846154,0.984126984126984,0.4210526315789473,0.96875,0.6437151982628029,0.4377013265550397,0.6857142857142857,0.4210526315789473,0.984126984126984,0.5217391304347826,0.6437151982628029,0.3910371863939995,0.9334681318681318,0.9413333333333334,0.4638462823725981,0.9347771739130436,0.6437151982628029,0.4341548519028007,0.7025898078529658,0.3327218045112781,0.7452445652173914,0.5557119565217391,0.7025898078529658
2024-07-25 19:49:35,hf_training,hf_training,100,0.001,2,0.0,0.0,0.9153333333333332,1.0,0.0,0.9557953358858337,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378351111111112,0.9153333333333332,0.0846666666666666,0.8748713307808331,0.0,0.0,0.5,0.0846666666666666,0.4778976679429168,0.0809240051050005,0.5
2024-07-25 19:49:51,hf_training,hf_training,100,0.001,2,0.0,1.0,0.9153333333333332,1.0,0.0,0.9557953358858337,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378351111111112,0.9153333333333332,0.0846666666666666,0.8748713307808331,0.0,0.0,0.5,0.0846666666666666,0.4778976679429168,0.0809240051050005,0.5
2024-07-25 19:50:14,hf_training,hf_training,100,0.001,4,0.0,0.0,0.924,1.0,0.0,0.9604989604989606,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.853776,0.924,0.076,0.8875010395010395,0.0,0.0,0.5,0.076,0.4802494802494803,0.0729979209979209,0.5
2024-07-25 19:50:37,hf_training,hf_training,100,0.001,4,0.0,1.0,0.928,1.0,0.0,0.9626556016597512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8611840000000001,0.928,0.072,0.8933443983402491,0.0,0.0,0.5,0.072,0.4813278008298756,0.069311203319502,0.5
2024-07-25 19:51:41,hf_training,hf_training,500,0.001,2,0.0,0.0,0.9133333333333332,1.0,0.0,0.9547038327526132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8341777777777778,0.9133333333333332,0.0866666666666666,0.8719628339140535,0.0,0.0,0.5,0.0866666666666666,0.4773519163763066,0.0827409988385598,0.5
