timestamp,origin_data_name,data_name,iterations,learning_rate,depth,l2_leaf_reg,max_ctr_complexity,0_pre,0_rec,0_spe,0_f1,0_geo,0_iba,1_pre,1_rec,1_spe,1_f1,1_geo,1_iba,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,auc,ap,f1_macro,f1_weighted,auc_ovr
2024-07-25 19:40:54,hf_training,hf_training,100.0,0.1,2.0,1.0,4.0,0.9514285714285714,0.972972972972973,0.4809160305343511,0.9620801733477792,0.6840455394046282,0.4909425447792613,0.63,0.4809160305343511,0.972972972972973,0.5454545454545455,0.6840455394046282,0.4448940551794761,0.9233571428571428,0.93,0.5238890035073241,0.92569486851177,0.6840455394046282,0.4869209766875467,0.7269445017536621,,0.7537673594011622,0.5818398502905546,0.7269445017536621
2024-07-25 19:40:57,hf_training,hf_training,100.0,0.1,2.0,3.0,4.0,0.9514632405424696,0.9737034331628928,0.4809160305343511,0.9624548736462094,0.6843022650805477,0.4913453254926938,0.6363636363636364,0.4809160305343511,0.9737034331628928,0.5478260869565218,0.6843022650805477,0.4451938544960425,0.9239445417775184,0.9306666666666666,0.5239527970305772,0.9262439596086434,0.6843022650805477,0.4873147636923196,0.7273097318486219,,0.7551404803013656,0.5840370009940878,0.7273097318486219
2024-07-25 19:41:00,hf_training,hf_training,100.0,0.1,2.0,5.0,4.0,0.9488272921108742,0.975164353542732,0.4503816793893129,0.961815561959654,0.6627187632994628,0.4622444127209888,0.6344086021505376,0.4503816793893129,0.975164353542732,0.5267857142857143,0.6627187632994628,0.4161479057373499,0.921368059854338,0.9293333333333332,0.4962126995987115,0.9238229552627968,0.6627187632994628,0.4582186511110844,0.7127730164660224,,0.7443006381226842,0.5647783209825717,0.7127730164660224
2024-07-25 19:41:02,hf_training,hf_training,100.0,0.1,2.0,7.0,4.0,0.9488272921108742,0.975164353542732,0.4503816793893129,0.961815561959654,0.6627187632994628,0.4622444127209888,0.6344086021505376,0.4503816793893129,0.975164353542732,0.5267857142857143,0.6627187632994628,0.4161479057373499,0.921368059854338,0.9293333333333332,0.4962126995987115,0.9238229552627968,0.6627187632994628,0.4582186511110844,0.7127730164660224,,0.7443006381226842,0.5647783209825717,0.7127730164660224
2024-07-25 19:41:05,hf_training,hf_training,100.0,0.1,2.0,9.0,4.0,0.94950213371266,0.975164353542732,0.4580152671755725,0.9621621621621622,0.6683114258547199,0.4697381170955617,0.6382978723404256,0.4580152671755725,0.975164353542732,0.5333333333333333,0.6683114258547199,0.4235422067603759,0.9223236282194848,0.93,0.5031796207183044,0.924711111111111,0.6683114258547199,0.4657036742596221,0.7165898103591521,,0.7477477477477478,0.5707843843843844,0.7165898103591521
2024-07-25 19:41:08,hf_training,hf_training,100.0,0.1,4.0,1.0,4.0,0.9481534090909092,0.975164353542732,0.4427480916030534,0.961469211379186,0.6570785010410627,0.4547393434567993,0.6304347826086957,0.4427480916030534,0.975164353542732,0.5201793721973095,0.6570785010410627,0.4087649696039403,0.9204059823781292,0.9286666666666666,0.4892457784791186,0.9229298987573022,0.6570785010410627,0.4507242481403162,0.7089562225728927,,0.7408242917882477,0.5587186848191934,0.7089562225728927
2024-07-25 19:41:12,hf_training,hf_training,100.0,0.1,4.0,3.0,4.0,0.9508896797153024,0.9758948137326516,0.4732824427480916,0.9632299927901946,0.6796130379183313,0.485088233966618,0.6526315789473685,0.4732824427480916,0.9758948137326516,0.5486725663716815,0.6796130379183313,0.4386595286505483,0.9248418055815696,0.932,0.5171772564807432,0.9270253108829778,0.6796130379183313,0.4810334603690146,0.7245886282403716,,0.755951279580938,0.5848772482788983,0.7245886282403716
2024-07-25 19:41:15,hf_training,hf_training,100.0,0.1,4.0,5.0,4.0,0.9508547008547008,0.975164353542732,0.4732824427480916,0.9628561125135232,0.6793586441089624,0.4846914311758582,0.6458333333333334,0.4732824427480916,0.975164353542732,0.5462555066079295,0.6793586441089624,0.4383649034752774,0.924216168091168,0.9313333333333332,0.5171134629574902,0.9264729929311014,0.6793586441089624,0.4806455810900075,0.7242233981454117,,0.7545558095607263,0.5826386261903513,0.7242233981454117
2024-07-25 19:41:18,hf_training,hf_training,100.0,0.1,4.0,7.0,4.0,0.9522111269614836,0.975164353542732,0.4885496183206106,0.9635510645976182,0.6902290726441235,0.4995992856976887,0.6530612244897959,0.4885496183206106,0.975164353542732,0.5589519650655022,0.6902290726441235,0.4532330597486446,0.9260853688122894,0.9326666666666666,0.531047305196676,0.9282160765718132,0.6902290726441235,0.4955499686314722,0.7318569859316713,,0.7612515148315602,0.594286953091307,0.7318569859316713
2024-07-25 19:41:21,hf_training,hf_training,100.0,0.1,4.0,9.0,4.0,0.9514978601997148,0.9744338933528124,0.4809160305343511,0.9628293035005414,0.6845588944783113,0.4917481575268007,0.6428571428571429,0.4809160305343511,0.9744338933528124,0.5502183406113538,0.6845588944783113,0.4454936024919347,0.9245432375517968,0.9313333333333332,0.5240165905538302,0.9267946127415524,0.6845588944783112,0.4877085930537557,0.7276749619435817,,0.7565238220559476,0.5862530313703429,0.7276749619435817
2024-07-25 19:41:26,hf_training,hf_training,100.0,0.1,8.0,1.0,4.0,0.9507845934379456,0.9737034331628928,0.4732824427480916,0.9621075424034644,0.6788495704937413,0.4838979771125197,0.6326530612244898,0.4732824427480916,0.9737034331628928,0.5414847161572052,0.6788495704937413,0.4377755016065543,0.923001106291304,0.93,0.5169858759109842,0.9253731489112912,0.6788495704937413,0.4798699475849987,0.7234929379554922,,0.7517961292803348,0.5782191096493785,0.7234929379554922
